Pays;A2000;A2001;A2002;A2003;A2004;A2005;A2006;A2007;A2008;A2009;A2010;A2011;A2012;A2013;A2014;A2015
Finland;28.42;31.7;34.5;41.22;35.53;26.8;36.31;31.59;26.97;30.42;33.31;27.44;20.78;25.57;20.81;16.19
France;9.26;8.25;9.23;9.93;9.64;10.8;9.71;9.99;9.43;9.28;9.85;8.54;8.71;7.77;4.82;6.06
French Polynesia;;;;;;;;;;;;;;;;
Gabon;38.4;37.1;37.25;40.87;41.49;47.9;42.76;53.34;50.49;47.98;52.66;58.4;57.49;55.01;59.66;56.26
Gambia;;;;;;;;;;;;;;;;
Georgia;21.07;20.11;6.75;8.85;12.64;14.19;27.06;18.17;15.27;13.39;7.48;22.6;25.5;17.78;19.63;21.96
Germany;63.15;62.7;62.79;64.38;62.68;62.32;61.03;62.79;60.75;59.74;59.46;60.4;59.68;59.24;56.73;55.06
Ghana;;;;;;;;;;0.22;10.78;24.34;12.08;10.4;18.2;38.85
Greece;91.94;94.28;93.17;89.58;89.7;89.05;87.2;92.63;90.83;86.57;81.43;86.05;83.2;74.73;75.61;71.13
Greenland;;;;;;;;;;;;;;;;
Grenada;;;;;;;;;;;;;;;;
Guam;;;;;;;;;;;;;;;;
Guatemala;48.28;52.02;58.26;50.79;42.89;39.88;44.7;52.38;44.59;50.89;36.15;35.56;33.12;32.83;31.43;39.61
Guinea;;;;;;;;;;;;;;;;
Guinea-Bissau;;;;;;;;;;;;;;;;
Guyana;;;;;;;;;;;;;;;;
Haiti;48.26;52.36;52.47;52.34;52.47;52.34;52.46;67.09;62.76;71.29;69.85;87.17;79.91;86.64;91.29;92
Honduras;38.09;50.75;60.03;60.82;70.03;67.05;63.07;62.4;62.01;55.25;52.19;53.22;50.7;53.24;56.17;57.72
Hungary;58.86;60.35;60.67;66.67;61.8;55.88;57.93;58.19;56.8;48.65;49.34;48.56;46.42;39.62;35.49;36.56
Iceland;0.07;0.05;0.07;0.07;0.05;0.06;0.04;0.02;0.01;0.01;0.01;0.01;0.02;0.03;0.02;0.02
India;83.44;83.48;84.77;83.79;83.02;80.95;80.02;80.05;81.7;82.28;81.24;79.63;81.29;79.72;80.9;81.89
Indonesia;84.04;82.53;85.05;86.36;86.39;86.39;87.74;87.1;86.68;86.77;84.15;88;88.76;87.72;88.52;89.34
Iran;96.96;96.09;94.27;92.77;93.61;90.92;90.46;91.11;97.58;96.63;95.84;94.74;94.29;92.56;93.18;93.86
Iraq;98.08;98.08;98.47;98.47;98.47;61.32;56.53;55.8;63.55;56.42;65.45;71.2;65.64;61.88;57.52;50.15
Ireland;87.52;86.93;86.06;87.27;88.57;83.13;82.99;82.17;78.82;75.9;79.04;72.19;71.47;68.82;65.29;62.81
Isle of Man;;;;;;;;;;;;;;;;
Israel;99.62;99.7;99.66;99.64;99.66;99.67;99.7;99.73;99.51;99.25;99.58;99.29;99.17;99;98.42;97.67
Italy;80.67;79.43;82.03;82.93;80.58;82.8;82.67;83.63;80.61;75.16;73.26;71.37;67.96;60.04;55.49;60.25
Ivory Coast;63.25;63.15;67.34;63.99;66.33;72.77;71.32;66.05;65.24;62.48;71.72;69.86;73.56;78.12;76.07;83.27
Jamaica;95.16;96.54;97.75;97.48;96.72;96.31;96.05;95.03;93.86;92.63;92.31;91.27;89.08;90.16;90.2;89.74
Japan;58.02;59.02;61.37;65.16;62.16;61.38;61.18;64.54;64.5;63.06;61.97;73.83;81.15;81.6;82.79;80.26
Jordan;99.43;99.32;99.25;99.37;99.31;99.33;99.46;99.43;99.47;99.52;99.51;99.55;99.58;99.63;99.64;99.03
Kazakhstan;85.28;85.75;84.73;86.46;87.94;88.17;83.51;83.39;90.19;91.25;90.29;90.9;91.77;92.49;92.12;91.13
Kenya;53.02;33.41;21.98;16.39;25.01;28.34;29.66;28.4;36.87;44.71;30.93;33.13;25.22;30.71;18.51;12.49
Kiribati;;;;;;;;;;;;;;;;
Kosovo;98.24;98.61;98.6;98.57;97.23;97.49;97.72;98.06;98.53;97.59;96.96;98.19;98.38;97.81;97.22;97.71
Kuwait;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Kyrgyzstan;14.1;14.09;14.09;14.09;14.12;14.12;14.12;14.12;14.12;7.81;8.2;6.72;6.52;6.52;8.74;14.81
Laos;;;;;;;;;;;;;;;;
Latvia;29.86;32.69;36.53;40.63;31.84;30.41;43.04;40.73;39.1;36.15;45.15;49.51;33.37;43.05;45.46;49.83
Lebanon;95.36;96.7;94.17;89.17;90.93;91.52;93.98;95.14;97.2;95.48;94.66;95.08;93.21;92.74;98.92;97.4
Lesotho;;;;;;;;;;;;;;;;
Liberia;;;;;;;;;;;;;;;;
Libya;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Liechtenstein;;;;;;;;;;;;;;;;
Lithuania;20.11;17.65;14.91;14.95;15.59;22.21;22.08;19.96;19.42;19.37;76.75;67.76;68.87;57.55;51.48;52.94
Luxembourg;50.95;76.82;93.45;93.94;93.23;92.83;92.04;90.47;88.15;90.23;90.31;88.38;86.65;76.8;76.17;62.66
Macedonia;82.82;90.16;87.57;79.61;77.77;78.51;76.45;84.46;86.69;81.4;66.52;78.78;83.33;73.86;75.96;64.06
Madagascar;;;;;;;;;;;;;;;;
Malawi;;;;;;;;;;;;;;;;
Malaysia;89.94;90.07;92.86;93.56;92.91;93.72;92.83;93.34;92.37;92.99;94;93.28;92.61;91.42;90.29;90.04
Maldives;;;;;;;;;;;;;;;;
Mali;;;;;;;;;;;;;;;;
Malta;100;100;100;100;100;100;100;100;100;100;99.95;99.54;98.87;98.45;96.66;92.33
Marshall Islands;;;;;;;;;;;;;;;;
Mauritania;;;;;;;;;;;;;;;;
Mauritius;70.36;71.27;72.41;72.77;72.66;75;77.74;77.61;76.77;76.37;75.68;79.79;79.3;79.4;79.71;77.28
Mexico;76.2;78.82;80.48;83.43;81.68;80.49;80.45;81.98;78.82;83.11;81.25;81.75;83.27;82.68;79.22;80.88
Micronesia;;;;;;;;;;;;;;;;
Moldova;93.28;93.71;93.49;93.69;93.53;93.71;93.81;93.62;93.54;94.22;93.34;93.92;95.36;93.03;93.8;94.63
Monaco;;;;;;;;;;;;;;;;
Mongolia;100;100;100;100;100;100;100;100;100;100;100;100;100;98.31;96.84;96.92
Montenegro;;;;;;34.85;40.72;40.11;45.58;24.96;31.63;54.67;48.07;36.53;44.78;50.35
Morocco;93.92;92.84;93.15;89.99;89.79;93.86;94.05;94;94.03;86.01;82.57;89.21;91.37;85.35;87.61;81.47
Mozambique;0.45;0.37;0.3;0.34;0.39;0.16;0.14;0.08;0.09;0.08;0.11;0.12;0.14;2.34;8.84;13.59
Myanmar;63.03;61.14;58.35;61.75;57.07;50.18;46.06;43.44;38.52;24.53;32.32;23.81;27.64;27.96;37.64;41.15
Namibia;0.78;;0.42;0.14;0.87;0.24;5.85;2.16;11.26;5.44;4.44;1.82;2.19;4.43;0.87;2.21
Nauru;;;;;;;;;;;;;;;;
Nepal;1.63;0.96;0.19;0.18;0.58;0.63;0.47;0.32;0.32;0.42;0.09;0.06;0.53;0.28;0.03;
Netherlands;90.68;90.68;90.26;90.12;89.47;86.86;86.76;87.19;85.76;85.29;85.84;83.9;82.25;83.39;83.01;82.23
New Caledonia;;;;;;;;;;;;;;;;
New Zealand;28.33;36.32;30.28;33.78;27.73;35.58;35.35;34.29;35.61;28.16;26.68;23.85;28.05;25.62;20.67;19.79
Nicaragua;78.6;80.2;75.42;72.94;72.28;65.39;69.94;71.01;64.47;69.1;63;66;57.18;47.7;46.13;49.95
Niger;100;100;100;100;100;99.13;99.08;99.11;98.68;98.83;98.98;100;100;99.1;99.1;99.25
Nigeria;61.78;61.78;61.78;63.1;66.6;67;72.9;72.9;72.9;77.1;75.6;78.24;80.29;81.56;82.41;81.8
North Korea;47.42;47.52;46.3;44.19;43.11;42.69;43.75;38.3;39.38;40.83;38.15;31.34;29.82;24.18;27.41;27.2
Northern Mariana Islands;;;;;;;;;;;;;;;;
