Pays;A2000;A2001;A2002;A2003;A2004;A2005;A2006;A2007;A2008;A2009;A2010;A2011;A2012;A2013;A2014;A2015
Egypt;961.95;1013.25;1062.53;1128.72;1171.17;1241.34;1311.36;1401.19;1446.63;1512.46;1550.81;1658.96;1658.77;1658.59;1657.77;
El Salvador;617.11;628.86;669.66;696.3;692.74;758.34;820.11;885.35;858.71;848.91;859.74;883.16;918.14;961.32;939.15;
Equatorial Guinea;;;;;;;;;;;;;;;;
Eritrea;50.7;55.47;59.76;62.33;60.9;60.97;57.05;58.99;57.17;60.32;61.95;64.14;;;;
Estonia;4540.49;4680.45;4767.46;5158.6;5429.53;5531.55;5869.42;6277.41;6364.57;5975.95;6506.32;6314.41;6689.37;6664.66;6732.37;
Ethiopia;22.65;26.44;26.1;28.48;30.62;33.37;37.31;39.41;40.86;42.06;48.27;52.61;57.39;64.39;69.72;
Faroe Islands;;;;;;;;;;;;;;;;
Fiji;;;;;;;;;;;;;;;;
Finland;15305.41;15709.88;16140.07;16445.57;16777.57;16117.89;17215.04;17160.86;16349.23;15243.11;16484.09;15710.97;15689.22;15510.84;15249.99;
France;7224.53;7342.26;7299.25;7529.55;7661.49;7652.86;7540.3;7513.58;7643.45;7338.04;7734.73;7232.98;7363.43;7367.85;6939.52;
French Polynesia;;;;;;;;;;;;;;;;
Gabon;878.06;896.8;921.66;930.62;908.95;907.97;935.74;958.91;970.44;932.09;948.05;959.87;984.74;1079.64;1172.89;
Gambia;;;;;;;;;;;;;;;;
Georgia;1452.82;1449.25;1509.75;1607.77;1678.68;1784.96;1659.82;1730.52;1796.77;1757.67;1976.82;2219.1;2271.37;2459.75;2688.49;
Germany;6635.42;6762.65;6900.78;7009.73;7108.96;7138.22;7212.44;7229.09;7187.76;6817.16;7264.32;7281.27;7270.15;7217.53;7035.48;
Ghana;332.02;337.77;310.92;221.16;219.86;245.85;296.74;244.09;264.26;263.01;280.51;318.49;345.7;379.67;354.71;
Greece;4586.33;4719.15;4909.64;5091.29;5200.02;5297.2;5434.58;5701.33;5805.19;5627.88;5333.44;5389.33;5534.9;5029;5062.61;
Greenland;;;;;;;;;;;;;;;;
Grenada;;;;;;;;;;;;;;;;
Guam;;;;;;;;;;;;;;;;
Guatemala;330.45;357.99;363.02;450.78;482.54;480.68;533.03;543.49;530.54;537.78;541.95;534.55;532.64;558.4;577.89;
Guinea;;;;;;;;;;;;;;;;
Guinea-Bissau;;;;;;;;;;;;;;;;
Guyana;;;;;;;;;;;;;;;;
Haiti;35.44;34.86;30.33;28.52;28.07;37.03;37.41;25.32;23.6;35.73;24.4;31.15;45.97;43.71;38.97;
Honduras;492.16;499.77;521.63;545.79;544.82;580.06;591.14;643.23;665.09;633.35;627.11;674.24;646.75;653.63;630.14;
Hungary;3309.28;3426.72;3545.17;3637.28;3680.17;3771.36;3882.49;3976.52;3988.77;3773.15;3876.49;3898.82;3923.04;3892.11;3965.96;
Iceland;26201.53;26950.39;27896.9;27666.39;28215.45;27988.03;31328.39;36852.54;50063.95;51259.19;51439.91;52373.88;53202.83;54799.17;53832.48;
India;394.96;395.1;411.97;431.84;453.01;469.45;510.75;543.36;562.9;600.2;642.11;698.55;724.79;765.56;805.6;
Indonesia;390.37;411.32;417.21;428.4;473.68;499.72;514.87;544.71;568.4;592.16;634.18;678.64;732.1;773.29;811.9;
