Pays;A2000;A2001;A2002;A2003;A2004;A2005;A2006;A2007;A2008;A2009;A2010;A2011;A2012;A2013;A2014;A2015
Estonia;10.64;11.22;10.79;12.49;12.68;12.37;12.01;13.95;13.08;10.91;13.6;14.02;13.32;15.09;14.85;
Ethiopia;0.05;0.06;0.06;0.07;0.07;0.07;0.07;0.07;0.08;0.08;0.08;0.09;0.09;0.11;0.12;
Faroe Islands;14.59;16.05;15.2;15.29;15.54;14.96;14.02;14.23;13.01;11.87;12.99;11.69;12.13;13.92;12.24;
Fiji;1.04;1.3;1.09;1.28;1.65;1.33;1.47;1.39;1.06;0.93;1.42;1.26;1.21;1.31;1.32;
Finland;10.13;11;11.86;13.26;12.83;10.42;12.57;12.1;10.64;9.96;11.58;10.54;9.08;8.68;8.66;
France;5.95;6.15;6.07;6.12;6.12;6.1;5.91;5.77;5.69;5.44;5.43;5.08;5.08;5.06;4.57;
French Polynesia;2.4;2.81;2.89;3.1;3.03;3.22;3.2;3.14;3.2;3.19;3.2;3.08;3;3;2.92;
Gabon;3.81;3.8;3.53;3.5;3.44;3.48;2.89;2.77;2.72;2.68;2.93;2.93;2.91;2.91;2.77;
Gambia;0.2;0.2;0.22;0.21;0.21;0.2;0.21;0.23;0.23;0.23;0.26;0.26;0.25;0.23;0.27;
Georgia;1.03;0.86;0.78;0.88;1.02;1.21;1.49;1.57;1.28;1.57;1.61;2.06;2.21;2.08;2.41;
Germany;10.1;10.37;10.06;9.97;9.9;9.67;9.91;9.49;9.51;8.82;9.28;9.12;9.2;9.39;8.89;
Ghana;0.33;0.36;0.37;0.37;0.35;0.32;0.42;0.43;0.39;0.32;0.41;0.39;0.46;0.55;0.54;
Greece;8.48;8.64;8.59;8.76;8.87;8.98;8.83;8.89;8.66;8.28;7.54;7.19;7.25;6.34;6.18;
Greenland;9.46;9.57;9.52;9.37;10.24;10.69;11.04;11.28;11.72;10.22;11.66;12.44;10.01;9.8;8.99;
Grenada;1.88;1.91;2.01;2.11;2;2.1;2.24;2.3;2.43;2.43;2.49;2.41;2.57;2.87;2.28;
Guam;;;;;;;;;;;;;;;;
Guatemala;0.85;0.89;0.91;0.87;0.91;0.96;0.94;0.92;0.82;0.83;0.8;0.79;0.78;0.87;1.15;
Guinea;0.19;0.19;0.2;0.2;0.2;0.19;0.19;0.2;0.21;0.21;0.24;0.25;0.23;0.2;0.21;
Guinea-Bissau;0.12;0.12;0.12;0.15;0.15;0.15;0.15;0.16;0.15;0.15;0.15;0.15;0.15;0.15;0.16;
Guyana;2.14;2.12;2.1;2.08;2.17;1.91;1.72;2.09;2.09;2.1;2.3;2.38;2.65;2.55;2.63;
Haiti;0.16;0.18;0.21;0.19;0.22;0.22;0.22;0.25;0.25;0.23;0.21;0.22;0.22;0.23;0.27;
Honduras;0.77;0.85;0.89;0.96;1.02;1.02;0.93;1.14;1.1;0.98;0.97;1.07;1.06;1.05;1.08;
Hungary;5.47;5.59;5.52;5.83;5.68;5.75;5.7;5.57;5.46;4.84;5.02;4.8;4.49;4.26;4.27;
Iceland;7.69;7.37;7.55;7.49;7.68;7.51;7.57;7.41;6.68;6.45;6.17;5.9;5.61;5.87;6.06;
India;0.98;0.97;0.97;0.99;1.03;1.07;1.12;1.19;1.31;1.43;1.4;1.48;1.6;1.59;1.73;
Indonesia;1.25;1.37;1.41;1.44;1.51;1.51;1.5;1.61;1.76;1.87;1.77;2.46;2.56;1.95;1.82;
Iran;5.63;5.94;5.91;6.08;6.42;6.66;7.15;7.21;7.43;7.52;7.68;7.8;8;8;8.28;
Iraq;3.07;3.52;3.5;3.56;4.34;4.2;3.57;2.19;3.2;3.5;3.65;4.24;4.66;4.88;4.81;
Ireland;10.83;11.39;11.04;10.68;10.75;10.47;10.1;10.15;9.58;8.89;8.78;7.78;7.74;7.54;7.31;
Isle of Man;;;;;;;;;;;;;;;;
Israel;9.58;9.88;9.1;9.4;8.67;8.22;8.86;8.78;9.34;8.61;9.04;8.9;9.55;8.32;7.86;
