Pays;A2000;A2001;A2002;A2003;A2004;A2005;A2006;A2007;A2008;A2009;A2010;A2011;A2012;A2013;A2014;A2015
Czech Republic;162021.19;157672.17;152372.42;157836.12;152079.89;147551.44;147768.3;149838.95;144072.58;137877.29;145706.92;144613.25;138957.42;;;
Democratic Republic of the Congo;861822.71;678319.48;763919.42;748084.2;816309.43;794528.22;922488.68;895387.99;754085.86;731884.63;799228.67;800756.94;802271.3;;;
Denmark;68553.55;70080.08;69387.75;75002.53;68854.76;64816.69;72755.34;67993.2;65167.03;63012.02;63679.09;58416.04;53703.22;;;
Djibouti;1969.17;2273.9;2019.01;2094.82;2115.9;2160.04;2149.83;2432.43;2518.57;2523.22;2629.83;2701.62;2766.3;;;
Dominica;140.87;157.16;159.09;162.65;175.05;174.6;191.16;195.28;202.8;203.11;211.31;217.38;222.84;;;
Dominican Republic;28492.2;28416.24;29253.32;28367.13;28494;29247.79;29635.72;30393.15;30646.08;30499.85;31668.71;32578.16;33395.08;;;
Ecuador;39805.12;41166.86;42616.27;44122.4;45931.82;47049.33;48495.59;49801.89;47603.31;49448.33;50320.7;51593.66;52746.57;;;
Egypt;184459.74;187292.45;202779.01;211890.8;223361.42;243789.53;256320.6;266252.27;269736.63;266325.43;280255.58;288287.83;295499.75;;;
El Salvador;10344.83;11361;11242.81;11251.28;11578.9;11528.25;11690.55;12085.96;11979.67;11911.56;11978.85;12293.61;12577.79;;;
Equatorial Guinea;4048.33;5278;;;5553.98;5675.89;5693.14;5927.14;5766.37;5840.52;6099.11;;6374.17;;;
Eritrea;4981.26;4725.51;4456.55;4481.71;4532.74;4476.29;4483.42;4868.86;4954.76;4751.09;4844.79;4912.88;4977.89;;;
Estonia;17768.81;17940.16;22955.36;19449.74;20024.43;20053.58;19628.39;23503.71;21871.91;18815.61;22767.13;24378.85;23292.78;;;
Ethiopia;183617.67;144657.84;186749.54;171731.66;175248.63;200010.18;175184.51;189006.75;175266.23;182032.58;182771.2;184045.88;185292.17;;;
Faroe Islands;;;;;;;;;;;;;;;;
Fiji;1574.68;1639.36;1807;1931.69;1810.48;1836.07;1945.97;2097.7;2123.96;2336.07;2163.92;2213.24;2258.17;;;
Finland;75117.48;80288.02;83951.85;95013.03;88571.16;76199.79;88152.98;85742.23;78384.73;74993.89;84371.54;76124.63;69072.94;;;
France;559922.2;565204.33;557850.13;564607.18;560648.84;557130.13;547361.38;540947.14;544424.06;527525.78;532133.04;502656.65;499146.63;;;
French Polynesia;610.1;;;;;;;;;;;;;;;
Gabon;32923.1;13751.4;12656.01;14728.79;15137.54;14185.92;13966.24;13080.54;61809.41;14325.64;34053.55;34324.76;34570.63;;;
Gambia;2864.99;3730.61;3407.84;2438.47;3115.45;3001.6;3751.61;4029.42;3350.44;3012.98;3481.57;3505.92;3529.23;;;
Georgia;11554.31;9788.14;20647.47;9653.44;10168.48;11190.17;11840.24;12884.99;12282.14;13250.12;13108.62;14665.8;14627.75;;;
Germany;1016295.55;1025983.5;1007404.93;1017485.98;1016628.79;981287.68;994686.05;972896.23;992116.3;950463.41;948006.75;929540.26;951716.71;;;
Ghana;107699.83;104386.21;92865.73;108030.31;71082.31;113159.71;104044.73;107333.77;124072.65;104912.64;106432.69;107126.22;107784.29;;;
Greece;115225.46;114019.9;115164.42;118731.24;118117.94;120036.21;117313.29;127392.26;117310.66;113365.8;107505.98;105013.93;100571.17;;;
Greenland;;;;;;;;;;;;;;;;
Grenada;474.97;444.69;479.73;473.34;501.04;562.25;628.85;625.76;643.73;645.08;682.66;705.68;726.19;;;
